,Job Profile,Company,ExperienceRequired,AvgSalary,MinSalary,MaxSalary
2393,Territory Executive,carelon-global-solutions,0-3,"1,91,465",1.0,2.6
2394,Software Engineer III,carelon-global-solutions,0-4,"6,89,968",4.2,8.8
2395,Senior Software Engineer,carelon-global-solutions,3-8,"12,93,896",9.0,15.1
2396,Software Engineer,carelon-global-solutions,3-9,"10,81,583",7.5,13.9
2397,Assistant Team Leader,carelon-global-solutions,1-4,"3,67,492",1.9,5.0
2398,Business Development Associate,carelon-global-solutions,4-13,"4,30,254",1.0,10.5
2399,Team Lead,carelon-global-solutions,10-18,"6,00,339",3.7,7.0
2400,Floor Associate,simplex-infrastructures,7-12,"28,80,964",13.0,43.0
2401,Software Development Engineer 3,simplex-infrastructures,2-10,"44,55,893",11.5,94.0
2402,Business Development Executive,simplex-infrastructures,0-16,"23,74,941",3.6,40.0
2403,Product Manager,simplex-infrastructures,2-4,"2,71,670",1.1,4.5
2404,Staff Nurse,simplex-infrastructures,2-8,"2,72,367",1.0,4.5
2405,Patient Care Coordinator,simplex-infrastructures,5-12,"4,82,293",2.2,10.0
2406,Deputy Manager,simplex-infrastructures,1-8,"1,68,225",,
2407,Pharmacist,simplex-infrastructures,3-11,"30,07,262",15.6,41.0
2408,Attending Consultant,simplex-infrastructures,1-8,"2,84,811",1.8,4.2
2409,Senior Staff Nurse,simplex-infrastructures,3-12,"45,10,230",19.0,77.0
2410,Scientific Officer,bajaj-electricals,0-5,"3,10,891",,
2411,Team Lead,bajaj-electricals,3-7,"2,86,422",1.5,4.8
2412,Patient Care Executive,bajaj-electricals,0-10,"7,96,473",4.5,13.0
2413,Senior Pharmacist,bajaj-electricals,4-11,"3,42,756",1.8,4.6
2414,Process Associate,bajaj-electricals,0-8,"17,73,779",2.5,30.0
2415,Medical Coder,bajaj-electricals,0-6,"4,20,697",2.2,6.2
2416,AR Caller,bajaj-electricals,7-17,"3,23,701",1.5,4.3
2417,Quality Analyst,bajaj-electricals,1-6,"4,58,954",3.0,5.8
2418,Team Lead,bajaj-electricals,3-8,"3,25,214",1.8,4.5
2419,Senior Process Associate,bajaj-electricals,3-9,"3,50,375",1.9,4.4
2420,Senior Medical Coder,marpu-foundation,2-7,"3,07,967",,
2421,Junior Process Associate,marpu-foundation,3-15,"3,31,648",,
2422,Team Lead Operations,marpu-foundation,1-8,"3,24,416",,
2423,Process Associate L1,marpu-foundation,1-8,"4,98,373",2.0,7.5
2424,Research Associate,marpu-foundation,0-6,"6,09,864",2.3,10.1
2425,Officer,marpu-foundation,0-5,"3,77,658",1.3,6.0
2426,Medical Representative,marpu-foundation,0-5,"3,70,603",1.3,7.5
2427,Research Scientist,marpu-foundation,3-9,"2,84,774",1.1,4.0
2428,Senior Officer,marpu-foundation,3-10,"5,63,425",2.1,8.3
2429,Area Sales Manager,marpu-foundation,1-7,"3,61,997",1.7,6.0
2430,Senior Research Scientist,torrent-pharmaceuticals,1-5,"4,68,816",3.0,6.5
2431,Assistant Officer,torrent-pharmaceuticals,1-3,"3,85,562",2.0,6.0
2432,Professional Sales Officer,torrent-pharmaceuticals,3-9,"3,88,266",,
2433,Field Manager,torrent-pharmaceuticals,1-6,"6,28,418",4.3,9.9
2434,Senior Software Engineer,torrent-pharmaceuticals,1-7,"5,44,187",3.4,7.9
2435,Technical Lead,torrent-pharmaceuticals,1-6,"7,12,865",3.3,10.2
2436,Software Engineer,torrent-pharmaceuticals,0-10,"10,43,730",7.0,13.5
2437,Network Engineer,torrent-pharmaceuticals,3-8,"3,51,546",2.1,4.3
2438,Senior Technical Lead,torrent-pharmaceuticals,4-9,"3,62,386",2.4,5.0
2439,Advanced Engineer,torrent-pharmaceuticals,6-14,"2,82,243",1.2,3.6
2440,Senior Test Engineer,indigo,6-12,"10,49,098",3.6,25.0
2441,Senior Engineer,indigo,1-4,"17,10,435",7.6,31.0
2442,Software Developer,indigo,1-8,"5,56,537",3.0,12.6
2443,Associate Network Engineer,indigo,0-5,"6,14,514",2.1,10.0
2444,Software Engineer,indigo,2-8,"24,85,671",12.5,37.0
2445,Senior Software Engineer,indigo,6-13,"9,62,027",3.8,19.0
2446,Technical Specialist,indigo,0-5,"9,93,118",5.1,15.2
2447,Software Developer,indigo,2-7,"10,57,395",4.0,34.2
2448,Softwaretest Engineer,indigo,10-16,"4,46,288",3.0,9.5
2449,Senior Technical Specialist,indigo,4-10,"4,60,236",2.0,7.0
2450,Junior Software Engineer,reliance-digital,4-8,"6,75,411",2.0,16.5
2451,Senior Systems Engineer,reliance-digital,3-10,"13,53,060",4.0,36.0
2452,System Engineer,reliance-digital,1-3,"17,90,103",6.0,28.0
2453,Devops Engineer,reliance-digital,0-5,"6,60,745",2.4,12.0
2454,Senior Design Engineer,reliance-digital,0-6,"4,38,149",2.6,8.5
2455,Design Engineer,reliance-digital,2-10,"23,75,021",10.0,35.0
2456,Solution Developer,reliance-digital,5-15,"4,11,233",2.5,6.5
2457,Technical Lead,reliance-digital,1-6,"10,13,107",3.5,22.0
2458,Team Lead,reliance-digital,1-4,"5,95,749",2.3,10.0
2459,Assistant Engineer,reliance-digital,8-16,"5,70,063",3.6,10.0
2460,Senior Engineer,arcelormittal-nippon-steel,0-1,"8,94,845",3.5,16.0
2461,Business Analyst,arcelormittal-nippon-steel,3-10,"6,60,793",1.1,12.3
2462,Senior Solution Developer,arcelormittal-nippon-steel,1-6,"7,71,810",2.0,18.5
2463,Project Manager,arcelormittal-nippon-steel,2-5,"13,78,315",7.3,25.0
2464,Business Development Executive,arcelormittal-nippon-steel,2-11,"12,23,798",6.0,20.0
2465,Business Development Manager,arcelormittal-nippon-steel,0-11,"5,53,444",3.0,9.5
2466,Investment Manager,arcelormittal-nippon-steel,0-7,"8,60,143",5.0,15.0
2467,Portfolio Manager,arcelormittal-nippon-steel,4-15,"6,72,602",3.0,11.2
2468,HR Executive,arcelormittal-nippon-steel,6-18,"8,09,115",4.7,15.0
2469,Relationship Manager,arcelormittal-nippon-steel,2-9,"23,50,901",14.8,35.0
2470,Area Sales Manager,arvind-group,3-8,"3,19,805",1.5,8.0
2471,Sales Manager,arvind-group,0-8,"5,22,997",1.8,12.2
2472,Senior Business Development Manager,arvind-group,3-7,"3,40,402",1.9,5.3
2473,Senior Investment Manager,arvind-group,13-21,"5,11,743",3.5,15.3
2474,Staff Nurse,arvind-group,0-7,"2,93,131",1.8,4.9
2475,Resident Medical Officer,arvind-group,0-7,"3,19,064",2.0,4.5
2476,Pharmacist,arvind-group,0-6,"9,66,524",5.0,17.8
2477,Supervisor,arvind-group,0-9,"5,98,295",2.2,10.4
2478,Hospital Pharmacist,arvind-group,0-2,"5,98,993",3.0,10.0
2479,Team Lead,arvind-group,0-7,"3,82,738",2.8,5.4
2480,Senior Assistant,wipro-enterprises-ltd,2-10,"3,60,819",,
2481,Assistant Supervisor,wipro-enterprises-ltd,1-10,"7,54,447",,
2482,Associate Consultant,wipro-enterprises-ltd,1-9,"2,68,761",1.4,3.7
2483,Attending Consultant,wipro-enterprises-ltd,0-6,"3,73,777",1.8,5.6
2484,Store Manager,wipro-enterprises-ltd,0-8,"2,88,317",,
2485,Department Manager,wipro-enterprises-ltd,0-5,"5,88,779",2.3,8.0
2486,Assistant Store Manager,wipro-enterprises-ltd,1-5,"3,63,585",1.9,6.0
2487,Retail Store Manager,wipro-enterprises-ltd,2-13,"4,04,072",2.5,6.0
2488,Team Lead,wipro-enterprises-ltd,1-6,"19,05,062",1.7,40.0
2489,Cashier,wipro-enterprises-ltd,5-13,"15,50,830",1.5,28.0
2490,Visual Merchandiser,titan-company,0-9,"7,79,931",3.0,21.0
2491,Sales Executive,titan-company,3-12,"3,58,990",2.0,6.0
2492,Assistant Concept Manager,titan-company,5-12,"5,48,956",2.5,16.0
2493,Inventory Executive,titan-company,3-8,"9,73,016",4.5,22.1
2494,Sales Executive,titan-company,6-15,"3,01,047",,
2495,Sales Officer,titan-company,1-10,"2,09,455",1.0,4.0
2496,Nutrition Officer,titan-company,0-13,"4,35,451",2.6,8.0
2497,Senior Sales Executive,titan-company,10-17,"2,56,515",,
2498,Senior Sales Officer,titan-company,1-10,"5,42,417",4.0,6.8
2499,Nutrition Executive,titan-company,0-6,"3,36,832",1.5,5.1
2500,Territory Executive,kochartech,0-6,"9,69,442",1.7,19.4
2501,Area Sales Manager,kochartech,0-6,"7,54,767",2.7,12.0
2502,Technical Associate,kochartech,0-12,"6,60,726",3.4,10.2
2503,Executive Production,kochartech,1-12,"15,51,162",8.0,22.0
2504,Operations Executive,kochartech,0-11,"10,34,427",6.8,12.7
2505,Senior Business Development Executive,kochartech,0-7,"11,52,713",7.0,15.7
2506,Delivery Boy,kochartech,0-5,"2,42,646",1.4,3.5
2507,Customer Service Executive,kochartech,7-13,"23,54,648",4.5,33.0
2508,Operation Staff,kochartech,3-7,"3,21,633",2.2,5.1
2509,Business Development Executive,kochartech,7-10,"10,77,675",7.0,12.7
2510,Senior Executive Operations,dilip-buildcon,0-6,"3,84,276",1.2,6.0
2511,Executive Accountant,dilip-buildcon,8-19,"5,86,968",3.5,8.0
2512,Supervisor,dilip-buildcon,2-6,"1,49,318",,
2513,Data Entry Operator,dilip-buildcon,3-9,"3,22,443",1.2,5.1
2514,Agency Manager,dilip-buildcon,2-17,"2,09,058",1.0,3.2
2515,Relationship Officer,dilip-buildcon,3-11,"3,88,366",2.4,5.4
2516,Cluster Manager,dilip-buildcon,0-6,"5,27,716",3.5,7.0
2517,Relationship Manager,dilip-buildcon,2-8,"4,39,713",2.0,5.5
2518,Sales Manager,dilip-buildcon,1-7,"2,36,547",1.1,5.0
2519,Senior Branch Relationship Officer,dilip-buildcon,1-7,"2,03,806",,
2520,Senior Agency Manager,huawei-technologies,6-13,"2,38,276",1.6,3.5
2521,Executive Sales Manager,huawei-technologies,4-12,"2,84,071",2.0,4.0
2522,Unit Sales Manager,huawei-technologies,2-8,"8,31,534",5.0,12.0
2523,Associate Sales Manager,huawei-technologies,1-6,"3,80,070",1.7,5.2
2524,Business Development Executive,huawei-technologies,0-6,"5,90,719",2.5,9.5
2525,Team Lead,huawei-technologies,0-5,"3,12,894",,
2526,Program Manager,huawei-technologies,4-11,"2,92,197",2.2,4.0
2527,Business Analyst,huawei-technologies,0-7,"3,26,440",2.5,3.5
2528,Customer Support Executive,huawei-technologies,4-10,"2,75,123",1.6,3.5
2529,MIS Executive,huawei-technologies,0-5,"2,66,040",1.6,3.7
2530,Senior Business Development Executive,jubilant-foods-works,1-12,"3,09,944",1.8,5.0
2531,Team Lead Operations,jubilant-foods-works,0-6,"4,69,668",1.6,7.6
2532,Field Executive,jubilant-foods-works,0-5,"22,63,649",9.5,32.0
2533,Customer Care Executive,jubilant-foods-works,1-5,"12,25,789",5.8,16.2
2534,Technical Lead,jubilant-foods-works,1-7,"3,29,922",1.8,4.2
2535,Senior Software Engineer,jubilant-foods-works,3-10,"4,27,557",1.9,7.6
2536,Software Developer,jubilant-foods-works,1-7,"3,33,389",2.4,5.5
2537,Senior Associate,jubilant-foods-works,0-5,"4,80,930",2.0,8.5
2538,Software Engineer,jubilant-foods-works,0-5,"2,87,457",1.8,4.5
2539,Software Development Engineer,jubilant-foods-works,1-7,"2,99,878",1.3,4.5
2540,QA Engineer,kpit-technologies,3-8,"22,95,308",11.0,34.0
2541,Analyst,kpit-technologies,2-10,"13,14,741",4.0,23.5
2542,Tech Lead,kpit-technologies,1-6,"10,15,187",3.6,19.8
2543,Senior Software Developer,kpit-technologies,1-5,"8,07,797",2.4,15.3
2544,Process Associate,kpit-technologies,8-15,"9,19,394",3.0,21.9
2545,Customer Service Executive,kpit-technologies,3-11,"12,50,914",4.0,18.0
2546,Customer Care Executive,kpit-technologies,1-7,"8,76,706",3.8,16.3
2547,Team Lead,kpit-technologies,2-7,"15,13,238",6.8,21.5
2548,Team Lead Operations,kpit-technologies,2-7,"22,37,494",12.7,30.0
2549,Senior Software Engineer,kpit-technologies,2-9,"12,45,239",6.0,20.0
2550,Software Engineer,upl,2-9,"3,42,768",,
2551,Quality Analyst,upl,6-11,"2,89,883",,
2552,Module Lead,upl,8-14,"2,73,535",1.0,6.0
2553,Senior Process Associate,upl,4-9,"4,42,345",2.8,7.0
2554,Relationship Officer,upl,0-8,"4,48,951",1.9,8.5
2555,Sales Officer,upl,0-5,"10,99,645",6.0,16.0
2556,Sales Executive,upl,0-6,"8,08,413",3.2,14.0
2557,Relationship Manager,upl,1-9,"3,55,110",1.2,6.0
2558,Deputy Manager,upl,3-8,"14,94,189",8.4,21.3
2559,Financial Service Associate,upl,4-10,"3,20,726",1.5,5.0
2560,Home Loan Counsellor,lava-international,2-6,"2,67,280",1.1,5.5
2561,Loan Officer,lava-international,1-6,"2,43,836",1.2,4.5
2562,Credit Officer,lava-international,6-12,"2,50,493",,
2563,Home Loan Officer,lava-international,2-7,"3,15,289",1.3,6.8
2564,Senior Analyst,lava-international,0-8,"4,96,408",2.2,11.0
2565,Software Engineering Specialist,lava-international,0-8,"2,41,227",1.3,3.5
2566,Analyst,lava-international,0-8,"2,64,827",1.0,4.5
2567,Business Analyst,lava-international,0-10,"2,77,086",1.6,3.9
2568,Senior Software Engineer,lava-international,3-13,"3,09,341",1.5,5.2
2569,Software Engineer,lava-international,0-5,"2,46,399",1.1,4.5
2570,Technical Lead,domino's-pizza,0-6,"9,73,426",3.5,20.0
2571,Lead Software Engineer,domino's-pizza,0-6,"18,16,511",5.5,30.0
2572,Lead Business Analyst,domino's-pizza,1-7,"5,82,911",2.8,10.0
2573,Processing Executive,domino's-pizza,0-6,"16,76,812",3.6,31.1
2574,Area Sales Officer,domino's-pizza,2-12,"16,62,561",6.2,26.0
2575,Territory Sales Leader,domino's-pizza,3-10,"11,90,589",1.0,27.0
2576,Territory Sales Manager,domino's-pizza,0-7,"25,45,714",12.1,37.0
2577,Customer Relationship Officer,domino's-pizza,2-12,"27,59,957",10.0,44.5
2578,Senior Customer Relationship Officer,domino's-pizza,4-11,"25,08,120",10.4,37.0
2579,Customer Relation Officer,domino's-pizza,0-4,"4,72,711",2.7,6.8
2580,Team Lead,apollo-tyres,8-16,"2,97,652",1.8,5.5
2581,Operations Executive,apollo-tyres,7-13,"5,10,697",3.0,7.5
2582,Area Sales Manager,apollo-tyres,7-15,"5,30,990",3.2,8.3
2583,Sales Executive,apollo-tyres,2-7,"2,52,267",1.7,4.0
2584,Team Lead,apollo-tyres,1-9,"2,68,679",1.8,3.5
2585,Store Manager,apollo-tyres,2-12,"2,55,879",1.5,4.0
2586,Department Manager,apollo-tyres,4-13,"4,67,380",2.8,7.7
2587,Retail Store Manager,apollo-tyres,0-8,"2,23,389",1.2,4.0
2588,Assistant Store Manager,apollo-tyres,0-8,"10,40,342",2.8,17.1
2589,Assistant Department Manager,apollo-tyres,1-6,"2,63,508",1.2,4.2
2590,Team Member,reliance-smsl,3-10,"2,48,135",1.1,4.5
2591,Team Lead Operations,reliance-smsl,0-7,"4,69,851",2.0,11.0
2592,Cashier,reliance-smsl,6-13,"3,79,277",2.0,6.5
2593,Sales Executive,reliance-smsl,0-7,"4,94,357",2.4,10.6
2594,Technical Lead,reliance-smsl,2-11,"5,14,032",2.2,13.3
2595,R&D Engineer,reliance-smsl,5-15,"2,97,641",1.6,4.3
2596,Technical Specialist,reliance-smsl,8-15,"1,64,681",,
2597,Solution Specialist,reliance-smsl,6-15,"2,76,120",1.4,4.2
2598,Network Engineer,reliance-smsl,3-14,"1,76,320",,
2599,Software Engineer,reliance-smsl,2-14,"1,94,439",,
2600,Fault Management Engineer,tata-aig,3-7,"17,02,315",7.0,31.0
2601,Sales Executive,tata-aig,3-10,"15,02,315",6.0,36.0
2602,Solution Engineer,tata-aig,1-6,"20,06,599",9.8,32.1
2603,Project Engineer,tata-aig,1-7,"17,14,885",5.5,26.0
2604,Sales Executive,tata-aig,2-13,"3,88,949",1.4,9.5
2605,CPA Manager,tata-aig,1-10,"10,98,008",4.0,23.8
2606,Senior Sales Executive,tata-aig,4-14,"3,89,199",1.1,7.8
2607,Team Lead,tata-aig,5-14,"2,57,135",,
2608,Senior Associate,tata-aig,0-7,"9,18,725",3.1,14.3
2609,Sales Officer,tata-aig,0-6,"3,62,645",2.3,6.0
2610,HR Coordinator,capita,0-7,"2,28,342",,
2611,Senior Sales Officer,capita,0-10,"2,13,960",1.0,3.1
2612,Coordinator,capita,0-8,"2,49,880",1.1,4.5
2613,Territory Sales Manager,capita,2-8,"2,53,059",1.1,4.4
2614,Cashier,capita,0-5,"2,26,763",,
2615,Customer Service Representative,capita,1-6,"2,42,165",1.1,3.6
2616,Department Manager,capita,0-6,"2,99,817",1.9,4.0
2617,Sales Executive,capita,2-7,"2,52,699",1.2,4.1
2618,Concept Manager,capita,0-6,"2,48,311",1.3,3.8
2619,Supervisor,capita,1-6,"3,13,951",2.2,5.0
2620,Assistant Concept Manager,flex,0-4,"1,94,910",,
2621,Inventory Executive,flex,2-6,"2,04,198",,
2622,Team Lead,flex,0-5,"4,00,379",2.0,6.0
2623,Head Cashier,flex,3-11,"1,92,758",,
2624,AC Technician,flex,0-6,"6,72,761",4.0,9.6
2625,Service Engineer,flex,1-7,"3,32,742",1.5,5.1
2626,Safety Officer,flex,4-13,"5,24,248",4.0,6.7
2627,Senior Engineer,flex,0-6,"2,99,017",1.2,6.0
2628,Area Sales Manager,flex,5-14,"2,43,802",1.5,4.1
2629,Hvac Technician,flex,4-10,"3,15,524",1.8,5.1
2630,Site Engineer,synechron,1-13,"2,54,119",,
2631,Area Service Manager,synechron,3-8,"4,21,418",1.6,9.0
2632,Sales Executive,synechron,2-9,"4,78,031",2.8,6.6
2633,Project Engineer,synechron,4-9,"6,39,768",3.2,9.2
2634,Sales Executive,synechron,0-8,"11,07,186",6.4,14.5
2635,Territory Head,synechron,1-9,"2,21,910",,
2636,Group Leader,synechron,3-12,"3,90,053",2.0,5.5
2637,Key Account Manager,synechron,5-11,"8,12,197",2.2,16.5
2638,Service Engineer,synechron,4-15,"2,72,489",1.0,8.3
2639,Service Supervisor,synechron,1-6,"4,91,565",2.1,9.0
2640,Customer Sales Specialist,birlasoft,3-9,"2,37,016",,
2641,Team Supervisor,birlasoft,1-14,"5,62,009",2.7,8.5
2642,Area Sales Manager,birlasoft,1-7,"2,90,582",1.0,6.2
2643,Team Lead,birlasoft,2-10,"8,21,218",5.2,10.5
2644,Senior Associate,birlasoft,0-10,"2,99,357",1.1,5.5
2645,Associate2,birlasoft,3-10,"3,45,694",1.8,5.5
2646,Team Lead,birlasoft,1-9,"2,74,449",1.0,5.0
2647,Emerging Leader,birlasoft,7-14,"3,83,177",2.0,5.2
2648,Senior Analyst,birlasoft,0-9,"7,89,883",2.8,16.5
2649,Assistant Vice President,birlasoft,2-10,"3,65,432",1.2,6.0
2650,Associate L2,mcdonald's,1-6,"7,76,877",2.8,17.1
2651,Fund Accountant,mcdonald's,2-10,"5,28,742",2.3,7.5
2652,Financial Analyst,mcdonald's,2-14,"10,71,362",4.1,17.1
2653,Technical Lead,mcdonald's,5-10,"8,58,310",4.2,13.0
2654,Operations Associate,mcdonald's,0-10,"4,43,887",2.0,8.0
2655,Operations Executive,mcdonald's,0-6,"34,14,056",18.0,46.5
2656,Business Development Manager,mcdonald's,4-12,"4,81,843",3.4,7.3
2657,Process Associate,mcdonald's,3-10,"4,84,474",2.4,7.2
2658,Team Lead Operations,mcdonald's,1-7,"3,97,913",2.0,8.1
2659,Team Lead,mcdonald's,12-20,"16,96,045",10.5,20.6
2660,Pitstop Executive,patanjali-ayurved,0-5,"2,27,539",1.5,3.3
2661,Territory Sales Manager,patanjali-ayurved,1-5,"2,71,915",,
2662,Senior Associate Operations,patanjali-ayurved,0-5,"6,42,482",3.0,10.7
2663,Cluster Business Manager,patanjali-ayurved,7-11,"2,17,651",1.2,3.5
2664,Senior Engineer,patanjali-ayurved,1-5,"4,15,026",2.2,6.3
2665,Civil Engineer,patanjali-ayurved,0-5,"3,93,789",2.0,6.9
2666,Deputy Manager,patanjali-ayurved,4-10,"2,70,429",1.8,5.0
2667,Civil Site Engineer,patanjali-ayurved,0-6,"5,44,162",3.1,8.1
2668,Assistant Engineer,patanjali-ayurved,4-8,"2,34,912",1.8,3.5
2669,Project Engineer,patanjali-ayurved,4-8,"14,31,560",8.0,29.0
2670,Store Officer,statestreet-hcl-services,0-5,"5,96,904",3.6,9.6
2671,Junior Engineer Civil,statestreet-hcl-services,3-8,"4,29,933",2.2,6.0
2672,Junior Engineer,statestreet-hcl-services,1-5,"10,68,413",6.8,16.8
2673,Site Engineer,statestreet-hcl-services,6-15,"3,69,933",1.8,6.7
2674,Deputy Manager,statestreet-hcl-services,3-11,"3,65,656",2.4,6.0
2675,Senior Engineer,statestreet-hcl-services,1-8,"4,46,089",2.6,6.0
2676,Sales Executive,statestreet-hcl-services,9-17,"4,18,130",2.4,5.4
2677,Quality Engineer,statestreet-hcl-services,1-7,"3,23,115",2.0,4.3
2678,Purchase Executive,statestreet-hcl-services,2-7,"2,92,006",1.5,4.5
2679,Design Engineer,statestreet-hcl-services,3-8,"3,41,799",1.1,5.2
2680,Quality Inspector,s&p-global,3-14,"12,64,704",6.0,18.3
2681,Production Engineer,s&p-global,1-5,"5,76,633",2.8,8.5
2682,Senior Executive Engineer,s&p-global,1-5,"4,05,860",1.8,6.0
2683,Junior Executive,s&p-global,1-6,"3,38,202",1.4,5.3
2684,Sales Officer,s&p-global,9-16,"3,65,617",,
2685,Medical Representative,s&p-global,2-11,"3,47,871",2.0,5.7
2686,Sales Executive,s&p-global,1-8,"2,18,184",,
2687,Regional Manager,s&p-global,2-11,"3,01,026",1.2,5.2
2688,ISR,s&p-global,0-8,"5,13,715",2.7,6.5
2689,Research Associate,s&p-global,0-4,"3,41,943",2.0,4.2
2690,Senior Sales Officer,taj-hotels-resorts-and-palaces,0-6,"4,96,320",1.5,8.1
2691,Area Sales Manager,taj-hotels-resorts-and-palaces,1-7,"3,24,650",1.5,5.0
2692,Product Specialist,taj-hotels-resorts-and-palaces,1-8,"2,53,596",,
2693,Medical Sales Representative,taj-hotels-resorts-and-palaces,2-8,"6,60,901",3.0,12.0
2694,Officer,taj-hotels-resorts-and-palaces,3-14,"2,62,361",,
2695,Medical Representative,taj-hotels-resorts-and-palaces,0-5,"5,09,505",2.5,9.0
2696,Research Associate,taj-hotels-resorts-and-palaces,0-9,"6,42,570",2.5,10.0
2697,Territory Executive,taj-hotels-resorts-and-palaces,9-15,"12,40,662",4.9,21.0
2698,QA Executive,taj-hotels-resorts-and-palaces,2-10,"3,99,607",2.3,6.2
2699,Senior Officer,taj-hotels-resorts-and-palaces,1-11,"3,01,496",1.4,4.2
2700,Management Trainee,lenskart,7-13,"2,90,934",2.0,4.1
2701,Area Manager,lenskart,11-16,"2,93,172",,
2702,Area Sales Manager,lenskart,0-5,"3,25,595",2.0,5.5
2703,Executive Production,lenskart,0-8,"2,98,544",1.8,5.0
2704,Guest Service Associate,lenskart,1-4,"3,94,400",2.6,6.2
2705,Commis Chef,lenskart,0-8,"4,09,853",2.8,5.6
2706,Housekeeping Supervisor,lenskart,0-3,"2,70,630",1.4,4.0
2707,Senior Guest Service Associate,lenskart,1-6,"5,21,618",3.5,7.2
2708,Duty Manager,lenskart,1-7,"5,15,667",3.0,7.0
2709,Front Office Associate,lenskart,2-8,"3,86,959",1.6,6.5
2710,Restaurant Manager,afcons-infrastructure,0-1,"2,03,771",,
2711,Chef DE Partie,afcons-infrastructure,7-14,"2,54,201",,
2712,Food & Beverage Executive,afcons-infrastructure,8-13,"3,01,482",1.1,5.5
2713,Front Office Executive,afcons-infrastructure,0-8,"2,03,883",,
2714,Security Guard,afcons-infrastructure,0-5,"4,36,070",2.7,6.6
2715,Security Supervisor,afcons-infrastructure,0-6,"1,70,826",,
2716,Security Officer,afcons-infrastructure,3-8,"5,78,494",3.0,10.0
2717,Sales Manager,afcons-infrastructure,1-5,"3,55,445",,
2718,Supervisor,afcons-infrastructure,4-10,"3,27,764",2.1,5.0
2719,Branch Coordinator,afcons-infrastructure,0-2,"2,83,977",1.6,4.3
2720,Operations Manager,state-street-syntel,6-13,"2,45,530",,
2721,Branch Head,state-street-syntel,2-11,"2,45,011",,
2722,Branch Finance Lead,state-street-syntel,5-11,"3,41,364",,
2723,Branch HR Lead,state-street-syntel,0-7,"7,61,196",3.9,11.0
2724,Deputy Manager,state-street-syntel,0-15,"2,46,582",,
2725,Channel Sales Manager,state-street-syntel,2-18,"3,22,404",2.0,4.2
2726,DPT.Manager,state-street-syntel,3-16,"5,87,900",3.4,12.0
2727,Network Engineer,state-street-syntel,4-14,"11,67,291",7.2,16.0
2728,MIS Executive,state-street-syntel,3-12,"4,26,113",3.0,5.5
2729,Partner Account Manager,state-street-syntel,1-12,"4,37,766",3.0,5.6
2730,Deputy General Manager,tech-mahindra-business-services,10-18,"7,84,674",5.1,11.0
2731,NOC Engineer,tech-mahindra-business-services,9-19,"5,79,126",1.4,12.5
2732,Sales Executive,tech-mahindra-business-services,5-15,"9,21,350",6.0,11.5
2733,Sales Manager,tech-mahindra-business-services,4-12,"2,67,734",1.0,6.0
2734,Assistant Officer,tech-mahindra-business-services,6-14,"2,42,265",1.4,3.4
2735,Deputy Officer,tech-mahindra-business-services,2-13,"11,75,912",5.9,15.5
2736,Officer,tech-mahindra-business-services,8-18,"30,52,868",19.2,42.7
2737,Supervisor,tech-mahindra-business-services,0-6,"2,86,494",1.4,4.8
2738,Data Entry Operator,tech-mahindra-business-services,2-9,"2,40,299",,
2739,Warehouse Executive,tech-mahindra-business-services,7-15,"11,57,030",5.5,18.5
2740,Warehouse Incharge,tractors-and-farm-equipment,14-23,"2,81,639",1.0,4.6
2741,Logistics Executive,tractors-and-farm-equipment,0-5,"3,40,650",1.6,5.5
2742,Deputy Manager,tractors-and-farm-equipment,0-7,"3,70,906",2.1,5.1
2743,Warehouse Manager,tractors-and-farm-equipment,9-17,"2,54,533",,
2744,Area Sales Executive,tractors-and-farm-equipment,0-10,"2,21,227",1.0,3.5
2745,Production Officer,tractors-and-farm-equipment,1-10,"2,94,764",1.4,4.2
2746,Sales Executive,tractors-and-farm-equipment,3-12,"3,74,660",1.7,6.5
2747,Senior Area Sales Executive,tractors-and-farm-equipment,0-6,"3,02,337",1.2,4.8
2748,PSM,tractors-and-farm-equipment,0-5,"6,91,300",3.3,10.5
2749,Maintenance Officer,tractors-and-farm-equipment,3-10,"5,43,265",2.2,9.0
2750,HR Officer,walmart,2-11,"7,52,715",3.6,10.0
2751,Quality Officer,walmart,1-10,"6,02,756",1.2,10.5
2752,Territory Sales Incharge,walmart,6-13,"2,37,136",,
2753,Quality Assurance Officer,walmart,5-15,"9,21,858",5.4,12.7
2754,Agency Manager,walmart,2-13,"2,99,819",1.1,4.2
2755,Relationship Officer,walmart,1-13,"5,21,702",2.7,10.1
2756,Sales Manager,walmart,0-7,"4,69,943",2.2,6.5
2757,Deputy Manager,walmart,4-13,"4,26,622",2.5,6.5
2758,Relationship Manager,walmart,0-8,"5,64,917",1.6,9.3
2759,Senior Engineer,walmart,3-11,"5,76,595",2.2,9.0
2760,General Manager,max-healthcare,1-7,"2,75,300",1.1,4.5
2761,Deputy General Manager,max-healthcare,1-6,"2,45,390",1.8,4.0
2762,Cluster Manager,max-healthcare,2-10,"4,57,153",1.8,9.0
2763,Assistant Engineer,max-healthcare,2-9,"13,25,270",3.5,23.0
2764,Area Sales Executive,max-healthcare,0-7,"3,45,639",2.1,7.0
2765,Service Engineer,max-healthcare,0-4,"8,04,562",4.5,12.0
2766,Senior Area Sales Executive,max-healthcare,1-8,"41,93,042",24.0,55.0
2767,Senior Officer,max-healthcare,4-15,"31,85,416",21.0,45.0
